catlong	catshort1	catshort2	catshort3	cathshort4
Acoustics	Physics	NA	NA	NA
AgriculturalEconomics&Policy	AgriculturalSciences	EconomicsBusiness	NA	NA
AgriculturalEngineering	AgriculturalSciences	Engineering	NA	NA
"Agriculture,Dairy&AnimalScience"	AgriculturalSciences	Biology&Biochemistry	Plant&AnimalScience	NA
"Agriculture,Multidisciplinary"	AgriculturalSciences	Biology&Biochemistry	Mutlidisciplinary	Plant&AnimalScience
Agronomy	AgriculturalSciences	Biology&Biochemistry	EnvironmentEcology	Plant&AnimalScience
Allergy	ClinicalMedicine	NA	NA	NA
Anatomy&Morphology	Biology&Biochemistry	Plant&AnimalScience	NA	NA
Andrology	Biology&Biochemistry	ClinicalMedicine	NA	NA
Anesthesiology	ClinicalMedicine	NA	NA	NA
Anthropology	History&Archaeology	SocialSciencesGeneral	NA	NA
Archaeology	History&Archaeology	SocialSciencesGeneral	NA	NA
Architecture	Visual&PerformingArts	NA	NA	NA
AreaStudies	Arts&Humanities	EconomicsBusiness	History&Archaeology	SocialSciencesGeneral
Art	Visual&PerformingArts	NA	NA	NA
AsianStudies	Arts&Humanities	History&Archaeology	NA	NA
Astronomy&Astrophysics	Physics	NA	NA	NA
Audiology&Speech-LanguagePathology	ClinicalMedicine	NA	NA	NA
Automation&ControlSystems	ComputerScience	Engineering	NA	NA
BehavioralSciences	ClinicalMedicine	Psychiatry&Psychology	NA	NA
BiochemicalResearchMethods	Biology&Biochemistry	Chemistry	NA	NA
Biochemistry&MolecularBiology	Biology&Biochemistry	Chemistry	NA	NA
BiodiversityConservation	EnvironmentEcology	Plant&AnimalScience	NA	NA
Biology	Biology&Biochemistry	NA	NA	NA
Biophysics	Biology&Biochemistry	Physics	NA	NA
Biotechnology&AppliedMicrobiology	Biology&Biochemistry	NA	NA	NA
Business	EconomicsBusiness	NA	NA	NA
"Business,Finance"	EconomicsBusiness	NA	NA	NA
Cardiac&CardiovascularSystem	ClinicalMedicine	NA	NA	NA
Cell&TissueEngineering	Biology&Biochemistry	MaterialsScience	NA	NA
CellBiology	Biology&Biochemistry	NA	NA	NA
"Chemistry,Analytical"	Chemistry	NA	NA	NA
"Chemistry,Applied"	Chemistry	NA	NA	NA
"Chemistry,Inorganic&Nuclear"	Chemistry	Physics	NA	NA
"Chemistry,Medicinal"	Biology&Biochemistry	Chemistry	NA	NA
"Chemistry,Multidisciplinary"	Mutlidisciplinary	NA	NA	NA
"Chemistry,Organic"	Chemistry	NA	NA	NA
"Chemistry,Physical"	Chemistry	Physics	NA	NA
Classics	Arts&Humanities	History&Archaeology	Literature&Language	NA
ClinicalNeurology	ClinicalMedicine	NA	NA	NA
Communication	EconomicsBusiness	Literature&Language	SocialSciencesGeneral	Visual&PerformingArts
"ComputerScience,ArtificialIntelligence"	ComputerScience	Mathematics	NA	NA
"ComputerScience,Cybernetics"	ComputerScience	NA	NA	NA
"ComputerScience,Hardware&Architecture"	ComputerScience	NA	NA	NA
"ComputerScience,InformationSystems"	ComputerScience	Mutlidisciplinary	NA	NA
"ComputerScience,InterdisciplinaryApplications"	ComputerScience	Mutlidisciplinary	NA	NA
"ComputerScience,SoftwareEngineering"	ComputerScience	NA	NA	NA
"ComputerScience,Theory&Methods"	ComputerScience	Mathematics	NA	NA
Construction&BuildingTechnology	Engineering	MaterialsScience	Visual&PerformingArts	NA
Criminology&Penology	Psychiatry&Psychology	SocialSciencesGeneral	NA	NA
CriticalCareMedicine	ClinicalMedicine	NA	NA	NA
Crystallography	Geosciences	MaterialsScience	Physics	NA
CulturalStudies	Literature&Language	Mutlidisciplinary	NA	NA
Dance	Visual&PerformingArts	NA	NA	NA
Demography	EconomicsBusiness	Mutlidisciplinary	SocialSciencesGeneral	NA
"Dentistry,OralSurgery&Medicine"	ClinicalMedicine	NA	NA	NA
Dermatology	ClinicalMedicine	NA	NA	NA
DevelopmentalBiology	Biology&Biochemistry	NA	NA	NA
DevelopmentStudies	EconomicsBusiness	NA	NA	NA
Ecology	EconomicsBusiness	EnvironmentEcology	Plant&AnimalScience	SocialSciencesGeneral
Economics	EconomicsBusiness	NA	NA	NA
"Education,ScientificDisciplines"	Mutlidisciplinary	SocialSciencesGeneral	NA	NA
"Education,Special"	SocialSciencesGeneral	NA	NA	NA
Education&EducationalResearch	Mutlidisciplinary	SocialSciencesGeneral	NA	NA
Electrochemistry	Chemistry	Physics	NA	NA
EmergencyMedicine	ClinicalMedicine	NA	NA	NA
Endocrinology&Metabolism	ClinicalMedicine	NA	NA	NA
Energy&Fuels	Chemistry	Physics	NA	NA
"Engineering,Aerospace"	Engineering	Physics	NA	NA
"Engineering,Biomedical"	ClinicalMedicine	Engineering	NA	NA
"Engineering,Chemical"	Chemistry	Engineering	NA	NA
"Engineering,Civil"	Engineering	NA	NA	NA
"Engineering,Electrical&Electronic"	Engineering	MaterialsScience	Physics	NA
"Engineering,Environmental"	Engineering	EnvironmentEcology	NA	NA
"Engineering,Geological"	Engineering	Geosciences	NA	NA
"Engineering,Industrial"	Engineering	NA	NA	NA
"Engineering,Manufacturing"	Engineering	MaterialsScience	NA	NA
"Engineering,Marine"	Engineering	Physics	NA	NA
"Engineering,Mechanical"	Engineering	Physics	NA	NA
"Engineering,Multidisciplinary"	Engineering	NA	NA	NA
"Engineering,Ocean"	Engineering	Physics	NA	NA
"Engineering,Petroleum"	Chemistry	Engineering	NA	NA
Entomology	Biology&Biochemistry	NA	NA	NA
EnvironmentalSciences	Biology&Biochemistry	Mutlidisciplinary	NA	NA
EnvironmentalStudies	EconomicsBusiness	Mutlidisciplinary	SocialSciencesGeneral	NA
Ergonomics	Mutlidisciplinary	NA	NA	NA
Ethics	Philosophy&Religion	SocialSciencesGeneral	NA	NA
EthnicStudies	EconomicsBusiness	SocialSciencesGeneral	NA	NA
EvolutionaryBiology	Biology&Biochemistry	NA	NA	NA
FamilyStudies	Mutlidisciplinary	NA	NA	NA
"Film,Radio,Television"	Visual&PerformingArts	NA	NA	NA
Fisheries	Biology&Biochemistry	NA	NA	NA
Folklore	Arts&Humanities	Literature&Language	NA	NA
FoodScience&Technology	Biology&Biochemistry	Chemistry	NA	NA
Forestry	EconomicsBusiness	Engineering	EnvironmentEcology	NA
Gastroenterology&Hepatology	ClinicalMedicine	NA	NA	NA
Genetics&Heredity	Biology&Biochemistry	ClinicalMedicine	NA	NA
Geochemistry&Geophysics	Chemistry	Geosciences	Physics	NA
Geography	EconomicsBusiness	EnvironmentEcology	SocialSciencesGeneral	NA
"Geography,Physical"	Geosciences	Mutlidisciplinary	NA	NA
Geology	Chemistry	Geosciences	Physics	NA
"Geosciences,Multidisciplinary"	Geosciences	Mutlidisciplinary	NA	NA
Geriatrics&Gerontology	ClinicalMedicine	NA	NA	NA
Gerontology	Psychiatry&Psychology	SocialSciencesGeneral	NA	NA
Green&SustainableScience&Technology	EnvironmentEcology	Mutlidisciplinary	NA	NA
HealthCareSciences&Services	ClinicalMedicine	EconomicsBusiness	SocialSciencesGeneral	NA
HealthPolicy&Services	ClinicalMedicine	EconomicsBusiness	SocialSciencesGeneral	NA
Hematology	ClinicalMedicine	NA	NA	NA
History	History&Archaeology	NA	NA	NA
History&PhilosophyOfScience	Arts&Humanities	History&Archaeology	Mutlidisciplinary	Philosophy&Religion
HistoryOfSocialSciences	History&Archaeology	Mutlidisciplinary	SocialSciencesGeneral	NA
Horticulture	AgriculturalSciences	Plant&AnimalScience	NA	NA
"Hospitality,Leisure,Sport&Tourism"	SocialSciencesGeneral	NA	NA	NA
"Humanities,Multidisciplinary"	Arts&Humanities	NA	NA	NA
ImagingScience&PhotographicTechnology	Engineering	Mutlidisciplinary	NA	NA
Immunology	ClinicalMedicine	NA	NA	NA
IndustrialRelations&Labor	EconomicsBusiness	SocialSciencesGeneral	NA	NA
InfectiousDiseases	ClinicalMedicine	NA	NA	NA
InformationScience&LibraryScience	ComputerScience	Engineering	Mutlidisciplinary	NA
Instruments&Instrumentation	Engineering	NA	NA	NA
Integrative&ComplementaryMedicine	ClinicalMedicine	NA	NA	NA
InternationalRelations	SocialSciencesGeneral	NA	NA	NA
Language&Linguistics	Literature&Language	SocialSciencesGeneral	NA	NA
Law	Mutlidisciplinary	SocialSciencesGeneral	NA	NA
Limnology	EnvironmentEcology	Mutlidisciplinary	Plant&AnimalScience	NA
Linguistics	Literature&Language	Mutlidisciplinary	SocialSciencesGeneral	NA
LiteraryReviews	Literature&Language	NA	NA	NA
LiteraryTheory&Criticism	Literature&Language	NA	NA	NA
Literature	Literature&Language	NA	NA	NA
"Literature,African,Australian,Canadian"	Literature&Language	NA	NA	NA
"Literature,American"	Literature&Language	NA	NA	NA
"Literature,BritishIsles"	Literature&Language	NA	NA	NA
"Literature,German,Dutch,Scandinavian"	Literature&Language	NA	NA	NA
"Literature,Romance"	Literature&Language	NA	NA	NA
"Literature,Slavic"	Literature&Language	NA	NA	NA
Logic	ComputerScience	Mathematics	Mutlidisciplinary	Philosophy&Religion
Management	EconomicsBusiness	NA	NA	NA
Marine&FreshwaterBiology	Biology&Biochemistry	EnvironmentEcology	Plant&AnimalScience	NA
"MaterialsScience,Biomaterials"	ClinicalMedicine	MaterialsScience	NA	NA
"MaterialsScience,Ceramics"	MaterialsScience	NA	NA	NA
"MaterialsScience,Characterization,Testing"	Engineering	MaterialsScience	NA	NA
"MaterialsScience,Coatings&Films"	MaterialsScience	NA	NA	NA
"MaterialsScience,Composites"	MaterialsScience	NA	NA	NA
"MaterialsScience,Multidisciplinary"	MaterialsScience	Mutlidisciplinary	NA	NA
"MaterialsScience,Paper&Wood"	MaterialsScience	NA	NA	NA
"MaterialsScience,Textiles"	MaterialsScience	NA	NA	NA
Mathematical&ComputationalBiology	Biology&Biochemistry	ComputerScience	Mathematics	NA
Mathematics	Mathematics	NA	NA	NA
"Mathematics,Applied"	Mathematics	NA	NA	NA
"Mathematics,InterdisciplinaryApplications"	Mathematics	Mutlidisciplinary	NA	NA
Mechanics	Engineering	Physics	NA	NA
MedicalEthics	ClinicalMedicine	Philosophy&Religion	SocialSciencesGeneral	NA
MedicalInformatics	ClinicalMedicine	ComputerScience	NA	NA
MedicalLaboratoryTechnology	ClinicalMedicine	Engineering	NA	NA
"Medicine,General&Internal"	ClinicalMedicine	NA	NA	NA
"Medicine,Legal"	ClinicalMedicine	SocialSciencesGeneral	NA	NA
"Medicine,Research&Experimental"	ClinicalMedicine	NA	NA	NA
Medieval&RenaissanceStudies	Arts&Humanities	History&Archaeology	Philosophy&Religion	NA
Metallurgy&MetallurgicalEngineering	Engineering	MaterialsScience	NA	NA
Meteorology&AtmosphericSciences	Geosciences	Physics	NA	NA
Microbiology	Biology&Biochemistry	NA	NA	NA
Microscopy	Engineering	Mutlidisciplinary	NA	NA
Mineralogy	Chemistry	Geosciences	Physics	NA
Mining&MineralProcessing	Engineering	Geosciences	NA	NA
MultidisciplinarySciences	Mutlidisciplinary	NA	NA	NA
Music	Visual&PerformingArts	NA	NA	NA
Mycology	Biology&Biochemistry	Plant&AnimalScience	NA	NA
Nanoscience&Nanotechnology	Chemistry	MaterialsScience	Mutlidisciplinary	Physics
Neuroimaging	ClinicalMedicine	NA	NA	NA
Neurosciences	Biology&Biochemistry	ClinicalMedicine	NA	NA
NuclearScience&Technology	Engineering	NA	NA	NA
Nursing	ClinicalMedicine	SocialSciencesGeneral	NA	NA
Nutrition&Dietetics	ClinicalMedicine	NA	NA	NA
Obstetrics&Gynecology	ClinicalMedicine	NA	NA	NA
Oceanography	Chemistry	Geosciences	Physics	NA
Oncology	ClinicalMedicine	NA	NA	NA
OperationsResearch&ManagementScience	EconomicsBusiness	Engineering	Mathematics	NA
Ophthalmology	ClinicalMedicine	NA	NA	NA
Optics	Engineering	Physics	NA	NA
Ornithology	Plant&AnimalScience	NA	NA	NA
Orthopedics	ClinicalMedicine	NA	NA	NA
Otorhinolaryngology	ClinicalMedicine	NA	NA	NA
Paleontology	Geosciences	NA	NA	NA
Parasitology	Biology&Biochemistry	Plant&AnimalScience	NA	NA
Pathology	Biology&Biochemistry	ClinicalMedicine	NA	NA
Pediatrics	ClinicalMedicine	NA	NA	NA
PeripheralVascularDiseases	ClinicalMedicine	NA	NA	NA
Pharmacology&Pharmacy	Biology&Biochemistry	Chemistry	ClinicalMedicine	NA
Philosophy	Philosophy&Religion	NA	NA	NA
"Physics,Applied"	Mutlidisciplinary	Physics	NA	NA
"Physics,Atomic,Molecular&Chemical"	Physics	NA	NA	NA
"Physics,CondensedMatter"	MaterialsScience	Physics	NA	NA
"Physics,Fluids&Plasmas"	Physics	NA	NA	NA
"Physics,Mathematical"	Mathematics	Physics	NA	NA
"Physics,Multidisciplinary"	Mutlidisciplinary	Physics	NA	NA
"Physics,Nuclear"	Physics	NA	NA	NA
"Physics,Particles&Fields"	Physics	NA	NA	NA
Physiology	Biology&Biochemistry	NA	NA	NA
PlantSciences	Plant&AnimalScience	NA	NA	NA
Poetry	Literature&Language	NA	NA	NA
PoliticalScience	SocialSciencesGeneral	NA	NA	NA
PolymerScience	Chemistry	MaterialsScience	NA	NA
PrimaryHealthCare	ClinicalMedicine	NA	NA	NA
Psychiatry	ClinicalMedicine	Psychiatry&Psychology	NA	NA
Psychology	Psychiatry&Psychology	NA	NA	NA
