ISSN	assigned	peer_review_model
0022-2380	Camille	Double/triple_blind
1741-038X	Camille	Double/triple_blind
0022-2429	Camille	Double/triple_blind
0022-2445	Camille	Unknown
1864-1105	Camille	Unknown
0360-5310	Camille	Unknown
1091-4358	Camille	Unknown
0305-7240	Camille	Double/triple_blind
1937-321X	Camille	Unknown
0272-6963	Camille	Unknown
0825-8597	Camille	Double/triple_blind
0306-6150	Camille	Double/triple_blind
0022-3514	Camille	Double/triple_blind
1866-5888	Camille	Single_blind
0920-9034	Camille	Unknown
1741-1122	Camille	Double/triple_blind
0022-3808	Camille	Single_blind
1356-9317	Camille	Single_blind
0933-1433	Camille	Double/triple_blind
0378-2166	Camille	Double/triple_blind
0737-6782	Camille	Double/triple_blind
0895-562X	Camille	Unknown
0734-2829	Camille	Double/triple_blind
0091-6471	Camille	Single_blind
0882-2689	Camille	Double/triple_blind
1554-8732	Camille	Single_blind
0047-2727	Camille	Single_blind
0743-9156	Camille	Double/triple_blind
0894-9085	Camille	Double/triple_blind
0951-6328	Camille	Double/triple_blind
0022-4146	Camille	Double/triple_blind
2040-7122	Camille	Double/triple_blind
0022-4359	Camille	Double/triple_blind
0969-6989	Camille	Double/triple_blind
1465-1211	Camille	Unknown
1753-9579	Camille	Unknown
1059-8405	Camille	Double/triple_blind
1757-5818	Camille	Unknown
1094-6705	Camille	Double/triple_blind
0736-7236	Camille	Single_blind
0148-8376	Camille	Single_blind
1468-0173	Camille	Double/triple_blind
0973-1741	Camille	Double/triple_blind
1527-0025	Camille	Unknown
1523-2409	Camille	Double/triple_blind
0966-9582	Camille	Double/triple_blind
0092-0703	Camille	Unknown
0890-8567	Camille	Unknown
0194-4363	Camille	Double/triple_blind
0022-4995	Camille	Unknown
0889-1583	Camille	Single_blind
0094-8705	Camille	Single_blind
0047-2875	Camille	Double/triple_blind
0001-8791	Camille	Double/triple_blind
0943-7444	Camille	Double/triple_blind
0023-656X	Camille	Single_blind
2215-0374	Camille	Unknown
0169-2046	Camille	Double/triple_blind
0963-9470	Camille	Single_blind
1543-4303	Camille	Double/triple_blind
1568-4555	Camille	Double/triple_blind
0094-582X	Camille	Unknown
0897-6546	Camille	Double/triple_blind
1470-8396	Camille	Double/triple_blind
0023-9216	Camille	Double/triple_blind
0261-3875	Camille	Unknown
0740-8188	Camille	Double/triple_blind
0024-3892	Camille	Double/triple_blind
0898-5898	Camille	Double/triple_blind
0197-7261	Camille	Double/triple_blind
0024-6301	Camille	Double/triple_blind
1740-8776	Camille	Double/triple_blind
0268-6902	Camille	Unknown
0738-1360	Camille	Single_blind
1520-5436	Camille	Double/triple_blind
0025-7079	Camille	Unknown
0967-0742	Camille	Double/triple_blind
