"","ISSN","ISSN2","title","peerreview"
"X.1","2666-5050 (online)",NA,"Heritage, Memory and Conflict (HMC)","Double blind"
"X.2","2750-8242 (online)  1617-8467 (print)",NA,"Geologica Saxonica","Single blind"
"X.3","2667-9809 (online) 1512-1720 (print)",NA,"Caucasiana","Double blind"
"X.4","2712-7508 (online) 2712-7702 (print)",NA,"BRICS Journal of Economics","Double blind"
"X.5","2710-298X (online) 1026-4949 (print)",NA,"Biosystematics and Ecology (BiosystEcol)","Single blind"
"X.6","1864-8312 (online) 1863-7221 (print)",NA,"Arthropod Systematics & Phylogeny","Single blind"
"X.7","1816-2711",NA,"Pakistan Journal of Statistics and Operation Research","Double blind"
"X.8","1435-1943","1860-1014","Fossil Record","Single blind"
"X.9","2767-3200",NA,"PLOS Climate","Single blind"
"X.10","2767-3170",NA,"PLOS Digital Health","Single blind"
"X.11","2767-3375",NA,"PLOS Global Public Health","Single blind"
"X.12","2767-3197",NA,"PLOS Sustainability and Transformation","Single blind"
"X.13","2767-3219",NA,"PLOS Water","Single blind"
"X.14","1438-8871",NA,"JMIR (Journal of Medical Internet Research)","Not blinded"
"X.15","1929-0748",NA,"JMIR Research Protocols","Not blinded"
"X.16","1929-073X",NA,"i-JMR (interactive Journal of Medical Research)","Not blinded"
"X.17","1923-2195",NA,"Medicine 2.0","Not blinded"
"X.18","2291-5222",NA,"JMIR mHealth & uHealth","Not blinded"
"X.19","2291-9279",NA,"JMIR Serious Games","Not blinded"
"X.20","2291-9694",NA,"MIR Medical Informatics","Not blinded"
"X.21","2292-9495",NA,"JMIR Human Factors","Not blinded"
"X.22","2368-7959",NA,"MIR Mental Health","Not blinded"
"X.23","2369-2529",NA,"JMIR Rehabilitation and Assistive Technologies","Not blinded"
"X.24","2369-3762",NA,"JMIR Medical Education","Not blinded"
"X.25","2369-1999",NA,"JMIR Cancer","Not blinded"
"X.26","2369-2960",NA,"JMIR Public Health and Surveillance","Not blinded"
"X.27","2369-6893",NA,"iProceedings","Not blinded"
"X.29","2371-4379",NA,"JMIR Diabetes","Not blinded"
"X.30","2561-3278",NA,"JMIR Biomedical Engineering","Not blinded"
"X.31","2561-1011",NA,"JMIR Cardio","Not blinded"
"X.32","2561-326X",NA,"JMIR Formative Research","Not blinded"
"X.33","2152-7202",NA,"Journal of Participatory Medicine","Not blinded"
"X.34","2562-0959",NA,"JMIR Dermatology","Not blinded"
