ISSN,ISSN2,title,peerreview
2666-5050,NA,"Heritage, Memory and Conflict (HMC)",Double blind
2750-8242,1617-8467,Geologica Saxonica,Single blind
2667-9809,1512-1720,Caucasiana,Double blind
2712-7508,2712-7702,BRICS Journal of Economics,Double blind
2710-298X,1026-4949,Biosystematics and Ecology (BiosystEcol),Single blind
1864-8312,1863-7221,Arthropod Systematics & Phylogeny,Single blind
1816-2711,NA,Pakistan Journal of Statistics and Operation Research,Double blind
1435-1943,1860-1014,Fossil Record,Single blind
2767-3200,NA,PLOS Climate,Single blind
2767-3170,NA,PLOS Digital Health,Single blind
2767-3375,NA,PLOS Global Public Health,Single blind
2767-3197,NA,PLOS Sustainability and Transformation,Single blind
2767-3219,NA,PLOS Water,Single blind
1438-8871,NA,JMIR (Journal of Medical Internet Research),Not blinded
1929-0748,NA,JMIR Research Protocols,Not blinded
1929-073X,NA,i-JMR (interactive Journal of Medical Research),Not blinded
1923-2195,NA,Medicine 2.0,Not blinded
2291-5222,NA,JMIR mHealth & uHealth,Not blinded
2291-9279,NA,JMIR Serious Games,Not blinded
2291-9694,NA,MIR Medical Informatics,Not blinded
2292-9495,NA,JMIR Human Factors,Not blinded
2368-7959,NA,MIR Mental Health,Not blinded
2369-2529,NA,JMIR Rehabilitation and Assistive Technologies,Not blinded
2369-3762,NA,JMIR Medical Education,Not blinded
2369-1999,NA,JMIR Cancer,Not blinded
2369-2960,NA,JMIR Public Health and Surveillance,Not blinded
2369-6893,NA,iProceedings,Not blinded
2371-4379,NA,JMIR Diabetes,Not blinded
2561-3278,NA,JMIR Biomedical Engineering,Not blinded
2561-1011,NA,JMIR Cardio,Not blinded
2561-326X,NA,JMIR Formative Research,Not blinded
2152-7202,NA,Journal of Participatory Medicine,Not blinded
2562-0959,NA,JMIR Dermatology,Not blinded
2561-6722,NA,JMIR Pediatrics and Parenting,Not blinded
2561-7605,NA,JMIR Aging,Not blinded
2561-9128,NA,JMIR Perioperative Medicine,Not blinded
2562-7600,NA,JMIR Nursing,Not blinded
2563-3570,NA,JMIR Bioinformatics and Biotechnology,Not blinded
2563-6316,NA,JMIRx|Med ,Not blinded
2564-1891,NA,JMIR Infodemiology,Not blinded
2683-2143,NA,"QVADRATA. Estudios sobre Educación, Artes y Humanidades",Double blind
2621-4814,NA,Borneo Journal of Pharmacy,Double blind
