sample,pub_model,consid_status,journal_super_category,journal_category,impact_factor,if_quartile,business_model,model_reported,language,hq_region,challenge_a,challenge_b,challenge_c,challenge_d,challenge_e,challenge_f,benefit_a,benefit_b,benefit_c,benefit_d,benefit_e
analytical,Single blind,Considered,Life Sciences,Environment/Ecology,0.4,Q1 (lowest),non-profit,Yes,English only,Europe (other),0,0,1,1,0,1,1,1,0,0,0
analytical,Single blind,Considered,Physical Sciences,Geosciences,0.8,Q1 (lowest),non-profit,Yes,Multilingual/Other,Europe (other),0,0,1,0,0,0,0,1,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Mathematics,0.633,Q1 (lowest),non-profit,No,Multilingual/Other,Europe (other),0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Mathematics,NA,NA,non-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Considered,Multidisciplinary,Multidisciplinary,2.9,Q3,non-profit,Yes,English only,UK,1,1,1,1,1,0,1,1,1,1,0
analytical,Single blind,Considered,Multidisciplinary,Multidisciplinary,NA,NA,for-profit,Yes,NA,NA,1,1,1,1,1,1,1,1,1,1,0
analytical,Single blind,Considered,Engineering & Technology,Engineering,NA,NA,non-profit,Yes,NA,NA,1,1,1,0,0,0,0,1,1,1,0
analytical,Single blind,Not considered,Clinical Pre-Clinical & Health,Clinical Medicine,0.5,Q1 (lowest),non-profit,No,Multilingual/Other,Europe (other),1,1,0,1,1,1,0,0,0,0,0
analytical,Single blind,Considered,Physical Sciences,Mathematics,0.9,Q1 (lowest),non-profit,Yes,English only,UK,0,0,0,1,0,1,0,1,0,1,0
analytical,Single blind,Not considered,Clinical Pre-Clinical & Health,Clinical Medicine,1.7,Q2,non-profit,Yes,English only,Asia-Pacific,1,1,1,1,1,1,0,0,0,0,0
analytical,Single blind,Not considered,Social Sciences,Economics & Business,1.72,Q2,for-profit,Yes,English only,USA,0,0,1,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Life Sciences,Agricultural Sciences,1,Q1 (lowest),non-profit,Yes,Multilingual/Other,Other,0,1,0,0,1,0,1,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Mathematics,NA,NA,non-profit,Yes,English only,USA,0,0,1,0,0,0,0,1,1,0,0
analytical,Single blind,Not considered,Physical Sciences,Chemistry,2.5,Q3,non-profit,Yes,English only,Europe (other),0,0,0,1,1,0,1,1,1,1,0
analytical,Single blind,Not considered,Physical Sciences,Geosciences,NA,NA,for-profit,Yes,English only,Europe (other),0,0,0,0,0,1,1,0,0,1,0
