ISSN	eISSN	publisher_country	model	weekstopub	APC	APC_amount	waiver
NA	1981-2132	Brazil	Anonymous_peer_review	12	No	NA	No
0329-8922	1851-7587	Argentina	Peer_review	12	No	NA	No
0124-4639	2145-4558	Colombia	Double_anonymous_peer_review	24	No	NA	No
2304-0947	2414-5963	Ukraine	Peer_review	10	No	NA	No
1659-4908	1659-4932	Costa_Rica	Double_anonymous_peer_review	4	No	NA	No
0121-0793	2011-7965	Colombia	Double_anonymous_peer_review	4	No	NA	No
0121-5698	2357-4933	Colombia	Double_anonymous_peer_review	20	No	NA	No
2354-5887	2655-5867	Indonesia	Double_anonymous_peer_review	10	No	NA	No
2222-8586	2415-7627	Ukraine	Double_anonymous_peer_review	10	Yes	525_UAH	No
2311-0872	NA	Ukraine	Double_anonymous_peer_review	8	No	NA	No
2521-6740	2617-3972	Belarus	Double_anonymous_peer_review	12	No	NA	No
2280-9678	2282-3212	Italy	Double_anonymous_peer_review	14	No	NA	No
1695-7253	2340-2717	Spain	Double_anonymous_peer_review	30	No	NA	No
NA	2191-0197	Poland	Anonymous_peer_review	15	Yes	1500_EUR	Yes
2364-3722	2196-9736	Germany	Anonymous_peer_review	12	Yes	2620_EUR	Yes
NA	2531-3975	Italy	Double_anonymous_peer_review	15	No	NA	No
NA	1838-2959	Australia	Double_anonymous_peer_review	16	No	NA	No
NA	2657-1110	Indonesia	Anonymous_peer_review	12	Yes	350000_IDR	No
NA	2199-2754	Germany	Anonymous_peer_review	8	No	NA	No
1659-455X	1659-407X	Costa_Rica	Double_anonymous_peer_review	16	No	NA	No
1011-0275	2215-3470	Costa_Rica	Double_anonymous_peer_review	40	No	NA	No
NA	2721-3811	Indonesia	Double_anonymous_peer_review	12	No	NA	No
NA	2340-7263	Spain	Anonymous_peer_review	24	No	NA	No
NA	1984-2430	Brazil	Anonymous_peer_review	16	No	NA	No
NA	2525-5819	Brazil	Double_anonymous_peer_review	5	No	NA	No
NA	2159-1253	United_States	Double_anonymous_peer_review	17	No	NA	No
0104-0529	2317-4307	Brazil	Editorial_review	16	No	NA	No
NA	2398-3396	United_Kingdom	Anonymous_peer_review	19	Yes	2000_EUR;_1700_GBP;_2200_USD	Yes
2283-981X	NA	Italy	Anonymous_peer_review	12	No	NA	No
2384-8774	2284-242X	Italy	Double_anonymous_peer_review	8	No	NA	No
NA	2446-5240	Brazil	Double_anonymous_peer_review	32	No	NA	No
0024-855X	1890-5455	Norway	Anonymous_peer_review	26	No	NA	No
1413-8271	2175-3563	Brazil	Anonymous_peer_review	36	No	NA	No
1994-3733	2411-0566	"Bolivia,_Plurinational_State_of"	Double_anonymous_peer_review	8	No	NA	No
2306-3424	2306-3432	Russian_Federation	Anonymous_peer_review	20	No	NA	No
NA	2059-450X	United_Kingdom	Double_anonymous_peer_review	25	No	NA	No
2460-0555	2460-4488	Indonesia	Double_anonymous_peer_review	12	No	NA	No
NA	2250-7116	Argentina	Anonymous_peer_review	12	No	NA	No
NA	2317-9708	Brazil	Peer_review	24	No	NA	No
2252-6323	2721-4540	Indonesia	Double_anonymous_peer_review	24	No	NA	No
2549-0117	2549-0125	Indonesia	Double_anonymous_peer_review	8	Yes	100000_IDR	Yes
0115-7809	2012-0818	Philippines	Double_anonymous_peer_review	24	No	NA	No
1138-414X	1989-6395	Spain	Peer_review	25	No	NA	No
0044-8753	1212-5059	Czechia	Peer_review	35	No	NA	No
0215-0905	NA	Indonesia	Anonymous_peer_review	16	No	NA	No
0186-7210	2448-6515	Mexico	Double_anonymous_peer_review	28	No	NA	No
2338-8528	2579-8111	Indonesia	Double_anonymous_peer_review	6	No	NA	No
NA	2581-0294	Indonesia	Peer_review	32	No	NA	No
0717-2877	0718-0012	Chile	Double_anonymous_peer_review	25	No	NA	No
2343-9742	2343-9750	Romania	Double_anonymous_peer_review	12	No	NA	No
NA	1548-7660	United_States	Peer_review	53	No	NA	No
NA	1984-4506	Brazil	Double_anonymous_peer_review	20	No	NA	No
2086-0234	NA	Indonesia	Peer_review	24	No	NA	No
2308-152X	2313-6197	Russian_Federation	Peer_review	20	No	NA	No
NA	2444-6157	Spain	Double_anonymous_peer_review	20	No	NA	No
2550-0600	2549-6530	Indonesia	Peer_review	12	No	NA	No
NA	2392-103X	Poland	Double_anonymous_peer_review	8	No	NA	No
NA	2054-619X	United_Kingdom	Double_anonymous_peer_review	22	No	NA	No
NA	1984-6150	Brazil	Double_anonymous_peer_review	6	No	NA	No
NA	1809-3760	Brazil	Double_anonymous_peer_review	16	No	NA	No
NA	2359-3652	Brazil	Double_anonymous_peer_review	6	No	NA	No
1055-6133	2332-9246	United_States	Double_anonymous_peer_review	12	No	NA	No
2337-7224	NA	Indonesia	Peer_review	24	Yes	500000_IDR	No
NA	1864-3361	United_Kingdom	Anonymous_peer_review	52	No	NA	No
2219-4142	2415-2498	Peru	Peer_review	6	No	NA	No
NA	1868-1387	Austria	"Editorial_review,_Open_peer_review"	24	No	NA	No
NA	1983-036X	Brazil	Double_anonymous_peer_review	17	No	NA	No
2236-479X	1982-5269	Brazil	Anonymous_peer_review	4	No	NA	No
NA	1579-1513	Spain	Double_anonymous_peer_review	40	No	NA	No
NA	2407-3733	Indonesia	Double_anonymous_peer_review	15	Yes	750000_IDR	No
1224-2780	1843-2875	Romania	Double_anonymous_peer_review	8	No	NA	No
NA	2499-2674	Italy	Double_anonymous_peer_review	12	No	NA	No
0101-7888	2357-9447	Brazil	Double_anonymous_peer_review	40	No	NA	No
2301-9123	2460-5441	Indonesia	Double_anonymous_peer_review	24	Yes	1000000_IDR	No
NA	2525-7870	Brazil	Anonymous_peer_review	12	No	NA	No
NA	2046-9551	United_Kingdom	Double_anonymous_peer_review	14	No	NA	No
