"","journal","ISSN"
"1","NEW_ENGLAND_JOURNAL_OF_MEDICINE","0028-4793"
"2","JAMA-JOURNAL_OF_THE_AMERICAN_MEDICAL_ASSOCIATION","0098-7484"
"3","BMJ-BRITISH_MEDICAL_JOURNAL","0959-535X"
"4","NATURE_REVIEWS_DISEASE_PRIMERS","2056-676X"
"5","NATURE_REVIEWS_CLINICAL_ONCOLOGY","1759-4774"
"6","NATURE_REVIEWS_CANCER","1474-175X"
"7","CELL","0092-8674"
"8","LANCET_PSYCHIATRY","2215-0374"
"9","SCIENCE","0036-8075"
"10","LANCET_ONCOLOGY","1470-2045"
"11","ANNALS_OF_ONCOLOGY","0923-7534"
"12","CANCER_CELL","1535-6108"
"13","NATURE_BIOTECHNOLOGY","1087-0156"
"14","CHEMICAL_SOCIETY_REVIEWS","0306-0012"
"15","JOURNAL_OF_CLINICAL_ONCOLOGY","0732-183X"
"16","CELL_RESEARCH","1001-0602"
"17","NATURE_REVIEWS_ENDOCRINOLOGY","1759-5029"
"18","JOULE","2542-4351"
"19","SIGNAL_TRANSDUCTION_AND_TARGETED_THERAPY","2095-9907"
"20","EUROPEAN_HEART_JOURNAL","0195-668X"
"21","ANNALS_OF_INTERNAL_MEDICINE","0003-4819"
"22","JAMA_INTERNAL_MEDICINE","2168-6106"
"23","INTENSIVE_CARE_MEDICINE","0342-4642"
"24","NATURE_NANOTECHNOLOGY","1748-3387"
"25","NATURE_REVIEWS_NEUROLOGY","1759-4758"
"26","CIRCULATION","0009-7322"
"27","NATURE_CATALYSIS","2520-1158"
"28","CLINICAL_MICROBIOLOGY_REVIEWS","0893-8512"
"29","LANCET_GLOBAL_HEALTH","2214-109X"
"30","MMWR-MORBIDITY_AND_MORTALITY_WEEKLY_REPORT","0149-2195"
"31","MMWR_RECOMMENDATIONS_AND_REPORTS","1057-5987"
"32","INNOVATION","2666-6758"
"33","ENERGY_&_ENVIRONMENTAL_SCIENCE","1754-5692"
"34","IMMUNITY","1074-7613"
"35","MATERIALS_SCIENCE_&_ENGINEERING_R-REPORTS","0927-796X"
"36","NATURE_GENETICS","1061-4036"
"37","NATURE_IMMUNOLOGY","1529-2908"
"38","CELL_HOST_&_MICROBE","1931-3128"
"39","PHYSICS_REPORTS-REVIEW_SECTION_OF_PHYSICS_LETTERS","0370-1573"
"40","ANNUAL_REVIEW_OF_IMMUNOLOGY","0732-0582"
"41","ADVANCED_MATERIALS","0935-9648"
"42","GASTROENTEROLOGY","0016-5085"
"43","CANCER_DISCOVERY","2159-8274"
"44","CELL_METABOLISM","1550-4131"
"45","JAMA_NEUROLOGY","2168-6149"
"46","SUSMAT","2766-8479"
"47","JAMA_ONCOLOGY","2374-2437"
"48","NATURE_MICROBIOLOGY","2058-5276"
"49","JOURNAL_OF_INFECTION","0163-4453"
"50","ADVANCED_ENERGY_MATERIALS","1614-6832"
"51","MOLECULAR_PLANT","1674-2052"
"52","ANNALS_OF_THE_RHEUMATIC_DISEASES","0003-4967"
"53","ADVANCES_IN_OPTICS_AND_PHOTONICS","1943-8206"
"54","NANO-MICRO_LETTERS","2311-6706"
"55","JAMA_PEDIATRICS","2168-6203"
"56","JAMA_PSYCHIATRY","2168-622X"
"57","ASTRONOMY_AND_ASTROPHYSICS_REVIEW","0935-4956"
"58","JOURNAL_OF_HEPATOLOGY","0168-8278"
"59","JOURNAL_OF_TRAVEL_MEDICINE","1195-1982"
"60","LANCET_RHEUMATOLOGY","2665-9913"
"61","ENERGYCHEM","2589-7780"
"62","NATURE_NEUROSCIENCE","1097-6256"
"63","MMWR_SURVEILLANCE_SUMMARIES","1545-8636"
"64","ANNUAL_REVIEW_OF_PSYCHOLOGY","0066-4308"
"65","SCIENCE_IMMUNOLOGY","2470-9468"
"66","AMERICAN_JOURNAL_OF_RESPIRATORY_AND_CRITICAL_CARE_MEDICINE","1073-449X"
"67","GUT","0017-5749"
"68","JOURNAL_OF_THE_AMERICAN_COLLEGE_OF_CARDIOLOGY","0735-1097"
"69","MATERIALS_TODAY","1369-7021"
"70","CELLULAR_&_MOLECULAR_IMMUNOLOGY","1672-7681"
"71","JAMA_CARDIOLOGY","2380-6583"
"72","IEEE_TRANSACTIONS_ON_PATTERN_ANALYSIS_AND_MACHINE_INTELLIGENCE","0162-8828"
"73","CHEM","2451-9294"
"74","EUROPEAN_UROLOGY","0302-2838"
"75","ANNUAL_REVIEW_OF_CONDENSED_MATTER_PHYSICS","1947-5454"
"76","PSYCHOLOGICAL_BULLETIN","0033-2909"
"77","PSYCHOTHERAPY_AND_PSYCHOSOMATICS","0033-3190"
"78","APPLIED_CATALYSIS_B-ENVIRONMENT_AND_ENERGY","0926-3373"
"79","ACS_ENERGY_LETTERS","2380-8195"
"80","NATURE_CHEMISTRY","1755-4330"
"81","NATURE_CELL_BIOLOGY","1465-7392"
"82","PROTEIN_&_CELL","1674-800X"
"83","MILITARY_MEDICAL_RESEARCH","2095-7467"
"84","PHARMACOLOGICAL_REVIEWS","0031-6997"
"85","LANCET_REGIONAL_HEALTH-EUROPE","2666-7762"
"86","LIVING_REVIEWS_IN_SOLAR_PHYSICS","2367-3648"
"87","ANNUAL_REVIEW_OF_PUBLIC_HEALTH","0163-7525"
"88","NATIONAL_SCIENCE_REVIEW","2095-5138"
"89","PROCEEDINGS_OF_THE_IEEE","0018-9219"
"90","TRENDS_IN_PLANT_SCIENCE","1360-1385"
"91","SMARTMAT","2766-8525"
"92","ENERGY_STORAGE_MATERIALS","2405-8297"
"93","JOURNAL_OF_THORACIC_ONCOLOGY","1556-0864"
"94","BLOOD","0006-4971"
"95","ENDOCRINE_REVIEWS","0163-769X"
"96","ADVANCED_COMPOSITES_AND_HYBRID_MATERIALS","2522-0128"
"97","CIRCULATION_RESEARCH","0009-7330"
"98","TRENDS_IN_COGNITIVE_SCIENCES","1364-6613"
"99","KIDNEY_INTERNATIONAL","0085-2538"
"100","INTERNATIONAL_JOURNAL_OF_COMPUTER_VISION","0920-5691"
"101","NATURE_PHYSICS","1745-2473"
"102","LIGHT-SCIENCE_&_APPLICATIONS","2095-5545"
"103","EUROSURVEILLANCE","1025-496X"
"104","QUALITATIVE_RESEARCH_IN_PSYCHOLOGY","1478-0887"
"105","ADVANCED_FUNCTIONAL_MATERIALS","1616-301X"
"106","TRENDS_IN_CELL_BIOLOGY","0962-8924"
"107","MATTER","2590-2393"
"108","SCIENCE_BULLETIN","2095-9273"
"109","INFORMATION_FUSION","1566-2535"
"110","TRENDS_IN_CANCER","2405-8025"
"111","ACCOUNTS_OF_CHEMICAL_RESEARCH","0001-4842"
"112","ACS_CENTRAL_SCIENCE","2374-7943"
"113","JOURNAL_OF_THE_ACADEMY_OF_MARKETING_SCIENCE","0092-0703"
"114","ANNUAL_REVIEW_OF_PHYSIOLOGY","0066-4278"
"115","EUROPEAN_JOURNAL_OF_HEART_FAILURE","1388-9842"
"116","JOURNAL_OF_INNOVATION_&_KNOWLEDGE","2530-7614"
"117","REPORTS_ON_PROGRESS_IN_PHYSICS","0034-4885"
