"","journal","ISSN","eISSN","publisher","language_1","language_2","language_3","language_4","language_5","language_6","language_7","language_8","language_9","language_10","language_11","language_12","category_1","category_2","category_3","category_4","category_5","category_6","Index","publisher_country","model","weekstopub","APC","APC_amount","waiver","citations","JIF_2022","JIF_quartile","JCI_2022","percent_OAGold"
"1","ULTRASONICS_SONOCHEMISTRY","1350-4177","1873-2828","ELSEVIER","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acoustics","Chemistry,Multidisciplinary",NA,NA,NA,NA,"SCIE","Netherlands","Anonymous_peer_review",6,"Yes","2300_USD","Yes",NA,8.4,NA,2.08,93.52
"2","AQUACULTURE_ECONOMICS_&_MANAGEMENT","1365-7305","1551-8663","TAYLOR_&_FRANCIS_INC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AgriculturalEconomics&Policy","Fisheries",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,3.9,NA,1.36,16.13
"3","BIORESOURCE_TECHNOLOGY","0960-8524","1873-2976","ELSEVIER_SCI_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AgriculturalEngineering","Biotechnology&AppliedMicrobiology","Energy&Fuels",NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,11.4,NA,1.79,7.62
"4","ANNUAL_REVIEW_OF_ANIMAL_BIOSCIENCES","2165-8102","2165-8110","ANNUAL_REVIEWS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agriculture,Dairy&AnimalScience","Biotechnology&AppliedMicrobiology","VeterinarySciences","Zoology",NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,12,NA,5.53,6.67
"5","COMPUTERS_AND_ELECTRONICS_IN_AGRICULTURE","0168-1699","1872-7107","ELSEVIER_SCI_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agriculture,Multidisciplinary","ComputerScience,InterdisciplinaryApplications",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,8.3,NA,1.93,14.55
"6","AGRONOMY_FOR_SUSTAINABLE_DEVELOPMENT","1774-0746","1773-0155","SPRINGER_FRANCE","Multi-Language",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agronomy","Green&SustainableScience&Technology",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,7.3,NA,1.15,50.21
"7","JOURNAL_OF_ALLERGY_AND_CLINICAL_IMMUNOLOGY","0091-6749","1097-6825","MOSBY-ELSEVIER","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allergy","Immunology",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,14.2,NA,2.44,30.88
"8","BRAIN_STRUCTURE_&_FUNCTION","1863-2653","1863-2661","SPRINGER_HEIDELBERG","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anatomy&Morphology","Neurosciences",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,3.1,NA,1.2,39.15
"9","WORLD_JOURNAL_OF_MENS_HEALTH","2287-4208","2287-4690","KOREAN_SOC_SEXUAL_MEDICINE_&_ANDROLOGY","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrology","Urology&Nephrology",NA,NA,NA,NA,"SCIE","Korea,_Republic_of","Double_anonymous_peer_review",6,"No",NA,"No",NA,4.8,NA,1.71,99.56
"10","ANAESTHESIA","0003-2409","1365-2044","WILEY","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anesthesiology",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,10.7,NA,3.23,23.67
