journal	ISSN	eISSN	publisher	language_1	language_2	language_3	language_4	language_5	language_6	language_7	language_8	language_9	language_10	language_11	language_12	category_1	category_2	category_3	category_4	category_5	category_6	Index
ABACUS-A_JOURNAL_OF_ACCOUNTING_FINANCE_AND_BUSINESS_STUDIES	0001-3072	1467-6281	WILEY	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Business,Finance"	NA	NA	NA	NA	NA	SSCI
ACADEMIA-REVISTA_LATINOAMERICANA_DE_ADMINISTRACION	1012-8255	2056-5127	EMERALD_GROUP_PUBLISHING_LTD	Spanish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Business	Management	NA	NA	NA	NA	SSCI
ACADEMIC_PSYCHIATRY	1042-9670	1545-7230	SPRINGER	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Education&EducationalResearch	Psychiatry	NA	NA	NA	NA	SSCI
ACADEMY_OF_MANAGEMENT_ANNALS	1941-6520	1941-6067	ACAD_MANAGEMENT	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Business	Management	NA	NA	NA	NA	SSCI
ACADEMY_OF_MANAGEMENT_DISCOVERIES	NA	2168-1007	ACAD_MANAGEMENT	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Management	NA	NA	NA	NA	NA	SSCI
ACADEMY_OF_MANAGEMENT_JOURNAL	0001-4273	1948-0989	ACAD_MANAGEMENT	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Business	Management	NA	NA	NA	NA	SSCI
ACADEMY_OF_MANAGEMENT_LEARNING_&_EDUCATION	1537-260X	1944-9585	ACAD_MANAGEMENT	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Education&EducationalResearch	Management	NA	NA	NA	NA	SSCI
ACADEMY_OF_MANAGEMENT_PERSPECTIVES	1558-9080	1943-4529	ACAD_MANAGEMENT	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Business	Management	NA	NA	NA	NA	SSCI
ACADEMY_OF_MANAGEMENT_REVIEW	0363-7425	1930-3807	ACAD_MANAGEMENT	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Business	Management	NA	NA	NA	NA	SSCI
ACCIDENT_ANALYSIS_AND_PREVENTION	0001-4575	1879-2057	PERGAMON-ELSEVIER_SCIENCE_LTD	English	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Ergonomics	"Public,Environmental&OccupationalHealth"	"SocialSciences,Interdisciplinary"	Transportation	NA	NA	SSCI
